,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
21460,22-10-131,ЦЕХ 16,5-775,2013.0,станок токарный универсальный,DUS-1110 Li,2022-10-27,не вкл привод,н/р кнопка ускореной подачи,блокировка кнопки,2022-10-27,2022-10-27,27.0,10.0,2022.0,6.0,0 days,Т
21461,22-10-138,ЦЕХ 16,5-769,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2022-10-27,поправить линейку,поправить линейку,увеличили ход движения по оси у,2022-11-08,2022-10-27,27.0,10.0,2022.0,6.0,12 days,Ф
21462,22-10-136,ЦЕХ 16,6/557,1990.0,электроhhо-лучевая устаhовка с чпу,EBOCAM KS120,2022-10-27,н/р холодильник,сработал датчик по низкому давления,"устранение утечек, вакуумирование, заправка фреоном",2022-10-28,2022-10-27,27.0,10.0,2022.0,6.0,1 days,У
21463,22-10-139,ЦЕХ 23,3/517,1984.0,электропечь вакуумная,"5,5/11,5И2",2022-10-27,ремонт вак. системы,замена вакуумного затвора.,замена вакуумного затвора.,2022-10-31,2022-10-27,27.0,10.0,2022.0,6.0,4 days,Г
21464,22-10-143,ЦЕХ 23,5/635,1987.0,beptиk-фpeзep.ct. с чпу,МА655 ПН,2022-10-28,установка 2-х модулей,установка 2-х модулей,утановлены модули,2022-11-08,2022-10-28,28.0,10.0,2022.0,10.0,11 days,Ф
21465,22-10-140,ЦЕХ 23,5-757,2007.0,вертикально-фрезерный обраб центр с чпу,SCHAUBLIN-60 CNC,2022-10-28,"ош 444, 608 по оси х и у",неисправность вентилятора охлаждения привода,замена вентилятора,2022-10-29,2022-10-28,28.0,10.0,2022.0,10.0,1 days,Ф
21466,22-10-142,ЦЕХ 43,6/179,1983.0,станок вертикально-протяжной,RASX-25,2022-10-28,замена компрессора на хол уст-ке,компрессор в рабочем состоянии,диагностика,2022-10-28,2022-10-28,28.0,10.0,2022.0,10.0,0 days,Б
21467,22-10-141,ЦЕХ 16,3/203,1953.0,шaxthaя эл.пeчь цилиhдp,ГАП-155-14,2022-10-28,не греет верхний контур,не греет верхний контур,замена платы управления,2022-10-29,2022-10-28,28.0,10.0,2022.0,10.0,1 days,Г
21468,22-10-144,ЦЕХ 22,5/40,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2022-10-29,"не вкл раб режим, выбивает фазу.ош№041",не вкл рабочий режим. выбивает фазу.,замена платы кип,2022-11-08,2022-10-29,29.0,10.0,2022.0,10.0,10 days,Р
21469,22-10-148,ЦЕХ 41,2-267,2013.0,высокопрецизинный внутришлифовальный станок,CT960,2022-10-29,течь масла из г/станции,слишком высокий уровень масла в г/станции,уровень масла приведен в норму,2022-10-29,2022-10-29,29.0,10.0,2022.0,10.0,0 days,Ш
21470,22-10-146,ЦЕХ 41,4/574,1991.0,плоско-шлифовальhый,JF625E-1,2022-10-29,нет рег-ки вращения круга,неисправен геркон,замена,2022-11-02,2022-10-29,29.0,10.0,2022.0,10.0,4 days,Ш
21471,22-10-145,ЦЕХ 41,4-354,2011.0,станок пятиосевой шлифовальный заточной,TX7+,2022-10-29,профилактика и очистка системы гидравлики,нет подачи сож,замена трубопровода,2022-11-15,2022-10-29,29.0,10.0,2022.0,10.0,17 days,И
21472,22-10-147,ЦЕХ 28,5/131,1981.0,фpeзepный cпeциальный bept. с чпу,MA 655A14,2022-10-29,люфт направляющих стола по оси х,люфт суппорта,натяжка клиньев,2022-11-15,2022-10-29,29.0,10.0,2022.0,10.0,17 days,А
21474,22-10-154,ЦЕХ 16,1-114,2003.0,6-ти координатнный лазерный комп. с чпу,790XS,2022-10-31,н/р холодильник,перегрелся компрессор,диагностика,2022-10-31,2022-10-31,31.0,10.0,2022.0,4.0,0 days,У
21475,22-10-157,ЦЕХ 28,5-733,2002.0,tokaphый ctанок с чпу,SLT-400/1000 MC,2022-10-31,замена подшипников шпинделя,выход из строя подшипников шпинделя,демонтаж шпинделя,2022-11-30,2022-10-31,31.0,10.0,2022.0,4.0,30 days,Т
21476,22-10-150,ЦЕХ 23,5-712,2001.0,вертикальный обрабатывающий центр,А-750,2022-10-31,снять линейку,выход из строя линейки,диагностика,2022-11-30,2022-10-31,31.0,10.0,2022.0,4.0,30 days,Ф
21477,22-10-158,ЦЕХ 28,5-610,2016.0,координатно-шлифовальный станок,"Hauser H45-400, Fanuc",2022-10-31,течь радиатора охлаждения,утечка антифриза,холодная пайка трубки,2022-11-07,2022-10-31,31.0,10.0,2022.0,4.0,7 days,Ш
21478,22-10-153,ЦЕХ 20,5-616,2020.0,профилешлифовальный центр пятиосевой с чпу,MFP-050.65.65,2022-10-31,клинит механизм смены инструмента,нет смены инструмента,рег-ка и шлифовка пальцев магазина,2022-11-15,2022-10-31,31.0,10.0,2022.0,4.0,15 days,Ш
21479,22-10-156,ЦЕХ 43,6/131,1977.0,станок горизонтально-протяжной,СПС 40,2022-10-31,н/р,видимых неисправностей найдено не было,диагностика,2022-11-01,2022-10-31,31.0,10.0,2022.0,4.0,1 days,Б
21480,22-10-155,ЦЕХ 26,1/2498,1989.0,токарhый  с чпу,BKN-100,2022-10-31,н/р,"села батарейка, слетели параметры","замена батарейки, ввод параметров",2022-11-02,2022-10-31,31.0,10.0,2022.0,4.0,2 days,Т
21481,22-10-152,ЦЕХ 20,5/427,1985.0,эл.эpoзиoh.копиров.прошив.ст-к с чпу,4Е-723.01Ф1,2022-10-31,нет прожега,неисправна плата прп-9,плата заменена на плату из зип,2022-10-31,2022-10-31,31.0,10.0,2022.0,4.0,0 days,Э
21482,22-10-151,ЦЕХ 20,5/406,1984.0,элektpo-эpозиohhый копиров.прошив.ст-к,4Г721М,2022-10-31,нет прожега,"""залипание"" датчика ""глубина обработки""",диагностика и устранение неисправности,2022-10-31,2022-10-31,31.0,10.0,2022.0,4.0,0 days,Э
21483,22-10-149,ЦЕХ 20,5-623,2014.0,электроискровой проволочно-вырезной станок,ONA AF 60,2022-10-31,н/р холодильник,ошибка холодильной установки,перезапуск станка и сброс ошибок,2022-10-31,2022-10-31,31.0,10.0,2022.0,4.0,0 days,Э
21484,22-11-001,ЦЕХ 41,2/179,1972.0,bhуtpи-шлиф.ct-k,S-5,2022-11-01,вышла из строя система смазки направляющих стола,износ насоса системы смазки,диагностика,2022-11-15,2022-11-01,1.0,11.0,2022.0,2.0,14 days,Ш
21485,22-11-003,ЦЕХ 26,9/199,1976.0,kamepa bakууmh д/cbapkи b heйtp cpeдe,6364-2078,2022-11-01,проверка  герметичности вак. системы,"проверка выполнена._x000d_
",замена вакуумных уплотнений.,2022-11-08,2022-11-01,1.0,11.0,2022.0,2.0,7 days,Г
21486,22-11-002,ЦЕХ 41,4/314,2001.0,п/автомат для червячhых фрез,В3-449Ф2,2022-11-01,течь масла из систеы гидравлики,слишком интенсивная система смазки станка,система смазки отрегулирована,2022-11-02,2022-11-01,1.0,11.0,2022.0,2.0,1 days,И
21487,22-11-005,ЦЕХ 23,5/634,1987.0,beptиk-фpeзep.ct. с чпу,МА655 ПН,2022-11-02,не запускается,заклинило вентилятор,замена вентилятора,2022-11-08,2022-11-02,2.0,11.0,2022.0,1.0,6 days,Ф
21488,22-11-007,ЦЕХ 26,1/2498,1989.0,токарhый  с чпу,BKN-100,2022-11-02,ош 222 (н/р привод гл двигателя),н/р гл. двигатель,корректировка параметров станка,2022-11-08,2022-11-02,2.0,11.0,2022.0,1.0,6 days,Т
21489,22-11-006,ЦЕХ 20,5/477,1988.0,эл.эpoзиoh.копиов.прошив. ст-к с пу,4Е-723.01Ф1,2022-11-02,ошибка не сбрасывается (замыкание),неисправность в приспособлении,ремонт приспособления силами цеха,2022-12-02,2022-11-02,2.0,11.0,2022.0,1.0,30 days,Э
21490,22-11-004,ЦЕХ 26,5/540,2001.0,электроэрозионный станок с чпу,Р36+Е50,2022-11-02,не горит монитор,вышел из строя монитор,замена монитора,2022-11-02,2022-11-02,2.0,11.0,2022.0,1.0,0 days,Э
21491,22-11-008,ЦЕХ 8,7-100,2002.0,установка д/очистки тех.жидкости,Z500TURBO ELOC,2022-11-03,ошибки,механическая неисправность центрифуги,диагностика,2022-11-09,2022-11-03,3.0,11.0,2022.0,1.0,6 days,Л
21495,22-11-010,ЦЕХ 35,5-197,2010.0,ct д/aбpaзиbho-жидkocthoй oбpaботки,NC3520S,2022-11-07,н/р подача воздуха,н/р клапан,диагностика,2022-11-14,2022-11-07,7.0,11.0,2022.0,2.0,7 days,В
21496,22-11-011,ЦЕХ 28,2-265,2002.0,внутришлифовальный станок,мод.203,2022-11-07,н/р подача фортуны,отказ датчика начального положения,восстановление контакта в распределительной коробке,2022-11-09,2022-11-07,7.0,11.0,2022.0,2.0,2 days,Ш
21497,22-11-009,ЦЕХ 25,5-258,2016.0,пятиосевой вертикально фрезерный обрабатывающий центр с чпу,MCU 700V-5X,2022-11-07,залипает кнопка,"выход из строя кнопки ""старт"" управляющей программы",ремонт кнопки,2022-11-07,2022-11-07,7.0,11.0,2022.0,2.0,0 days,А
21498,22-11-013,ЦЕХ 16,1-114,2003.0,6-ти координатнный лазерный комп. с чпу,790XS,2022-11-08,"н/р ось ""z"" . ""прыгает""",вышла из строя плата управления приводами,замена платы на новую,2022-11-09,2022-11-08,8.0,11.0,2022.0,5.0,1 days,У
21499,22-11-016,ЦЕХ 15,3/106,1979.0,bakуm.tepmич.пeчь,FHV-90GS,2022-11-08,рем. вак. системы,негерметичность вакуумной системы,"замена межкамерного уплотнения, сдача натекания",2022-11-21,2022-11-08,8.0,11.0,2022.0,5.0,13 days,Г
21500,22-11-021,ЦЕХ 3,4/283,1985.0,машина роликовая конденсаторная,МРК-5,2022-11-08,сбой электроники,неисправность платы,ремонт платы,2022-11-22,2022-11-08,8.0,11.0,2022.0,5.0,14 days,У
21501,22-11-012,ЦЕХ 41,4-354,2011.0,станок пятиосевой шлифовальный заточной,TX7+,2022-11-08,останавливается центрифуна  и станция охл.,пробой шланга,замена шланга гидравлики,2022-11-14,2022-11-08,8.0,11.0,2022.0,5.0,6 days,И
21502,22-11-020,ЦЕХ 3,5-629,2016.0,станок электроэрозионный копировально-прошивочный с чпу,4П722ФЗ+G50,2022-11-08,нет поднятия ванны,ложный вызов,,2022-11-08,2022-11-08,8.0,11.0,2022.0,5.0,0 days,Э
21503,22-11-015,ЦЕХ 9,4/10,1976.0,эл.bыcaдoчhaя maшиha,ХГ-125560,2022-11-08,проверить давление в гидроаккумуляторе,нарушение герметичности мембран,диагностика,2024-07-08,2022-11-08,8.0,11.0,2022.0,5.0,608 days,К
21504,22-11-019,"Филиал ""НИИД""",3/510,1984.0,эл.пeчь bakууm.,"5,5/11,5И2",2022-11-08,проверка герметичности,проверка выполнена.,проверка выполнена.,2022-11-11,2022-11-08,8.0,11.0,2022.0,5.0,3 days,Г
21505,22-11-017,ЦЕХ 15,3/537,1985.0,эл.пeчь kamep.bakуmh.,FHV90GHS,2022-11-08,проверка герметичности,проверка выполнена.,проверка выполнена.,2022-11-14,2022-11-08,8.0,11.0,2022.0,5.0,6 days,Г
21506,22-11-018,ЦЕХ 16,6/557,1990.0,электроhhо-лучевая устаhовка с чпу,EBOCAM KS120,2022-11-08,ремонт вак. системы,"проверка герметичности, замена вакуумного уплотнения.","проверка герметичности, замена вакуумного уплотнения.",2022-11-15,2022-11-08,8.0,11.0,2022.0,5.0,7 days,У
